============================= test session starts ==============================
platform linux -- Python 3.12.13, pytest-9.1.1, pluggy-1.6.0 -- /app/.venv/bin/python
cachedir: .pytest_cache
rootdir: /app
configfile: pyproject.toml
testpaths: tests
plugins: cov-7.1.0, anyio-4.14.1, asyncio-1.4.0
tests/unit/routes/app_routes/test_ops.py::test_containers_requires_login PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_env_get_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_clone_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_backup_restore_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_backup_run_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_files_list_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_files_view_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_terminal_requires_login PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_terminal_get_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_env_post_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_flush_cache_requires_login PASSED [  4%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_update_plugins_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_update_core_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_auto_login_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_proxy_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_proxy_service_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_fix_url_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_fix_wp_site_url_calls_docker PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPage::test_login_page_renders PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPage::test_login_page_redirects_if_authenticated PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_invalid_credentials PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_valid_credentials_no_totp PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_totp_required PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_totp_invalid_code PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_valid_totp PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestLogout::test_logout_no_cookie PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestLogout::test_logout_with_invalid_cookie PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestLogout::test_logout_with_valid_session PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_unauthenticated PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_authenticated PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_enable_invalid_code PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_enable_success PASSED [  8%]
tests/unit/routes/test_containers_route.py::test_get_containers_data_cancels_docker_task_when_database_fails PASSED [  8%]
tests/unit/routes/test_containers_route.py::test_get_containers_data_cancels_database_task_when_docker_fails PASSED [  8%]
tests/unit/routes/test_dashboard.py::test_disk_usage PASSED              [  8%]
tests/unit/routes/test_dashboard.py::test_disk_usage_exception PASSED    [  8%]
tests/unit/routes/test_dashboard.py::test_server_hostname PASSED         [  8%]
tests/unit/routes/test_dashboard.py::test_server_hostname_fallback PASSED [  9%]
tests/unit/routes/test_dashboard.py::test_server_hostname_exception PASSED [  9%]
tests/unit/routes/test_dashboard.py::test_cpu_usage PASSED               [  9%]
tests/unit/routes/test_dashboard.py::test_cpu_usage_cap_100 PASSED       [  9%]
tests/unit/routes/test_dashboard.py::test_cpu_usage_exception PASSED     [  9%]
tests/unit/routes/test_dashboard.py::test_ram_usage PASSED               [  9%]
tests/unit/routes/test_dashboard.py::test_ram_usage_exception PASSED     [  9%]
tests/unit/routes/test_dashboard_web.py::test_dashboard_redirects_to_login PASSED [ 10%]
tests/unit/routes/test_dashboard_web.py::test_dashboard_authenticated PASSED [ 10%]
tests/unit/routes/test_dashboard_web.py::test_dashboard_authenticated_with_data PASSED [ 10%]
tests/unit/routes/test_dashboard_web.py::test_dashboard_no_user PASSED   [ 10%]
tests/unit/routes/test_dashboard_web.py::test_dashboard_with_db_mock PASSED [ 10%]
tests/unit/routes/test_debug.py::test_file_checksum_success PASSED       [ 10%]
tests/unit/routes/test_debug.py::test_file_checksum_large_file PASSED    [ 10%]
tests/unit/routes/test_debug.py::test_file_checksum_missing_file PASSED  [ 11%]
tests/unit/routes/test_debug.py::test_file_checksum_empty_file PASSED    [ 11%]
tests/unit/routes/test_debug_api.py::test_verify_token_missing PASSED    [ 11%]
tests/unit/routes/test_debug_api.py::test_verify_token_not_configured PASSED [ 11%]
tests/unit/routes/test_debug_api.py::test_verify_token_invalid PASSED    [ 11%]
tests/unit/routes/test_debug_api.py::test_verify_token_success PASSED    [ 11%]
tests/unit/routes/test_debug_api.py::test_verify_token_empty_file PASSED [ 12%]
tests/unit/routes/test_debug_api.py::test_run_success PASSED             [ 12%]
tests/unit/routes/test_debug_api.py::test_run_empty PASSED               [ 12%]
tests/unit/routes/test_debug_api.py::test_run_exception PASSED           [ 12%]
tests/unit/routes/test_debug_api.py::test_run_timeout PASSED             [ 12%]
tests/unit/routes/test_debug_api.py::test_debug_logs PASSED              [ 12%]
tests/unit/routes/test_debug_api.py::test_debug_logs_info PASSED         [ 12%]
tests/unit/routes/test_debug_api.py::test_debug_certs PASSED             [ 13%]
tests/unit/routes/test_debug_api.py::test_debug_system PASSED            [ 13%]
tests/unit/routes/test_debug_api.py::test_debug_errors PASSED            [ 13%]
tests/unit/routes/test_debug_api.py::test_debug_errors_clamps_lines PASSED [ 13%]
tests/unit/routes/test_debug_api.py::test_debug_caddy_logs PASSED        [ 13%]
tests/unit/routes/test_debug_api.py::test_debug_docker_ps PASSED         [ 13%]
tests/unit/routes/test_debug_api.py::test_debug_docker_logs_validates_container_name PASSED [ 13%]
tests/unit/routes/test_debug_api.py::test_container_name_accepts_valid[web] PASSED [ 14%]
tests/unit/routes/test_debug_api.py::test_container_name_accepts_valid[nginx-prod_1] PASSED [ 14%]
tests/unit/routes/test_debug_api.py::test_container_name_accepts_valid[container.dev-1] PASSED [ 14%]
tests/unit/routes/test_debug_api.py::test_container_name_accepts_valid[a] PASSED [ 14%]
tests/unit/routes/test_debug_api.py::test_container_name_accepts_valid[A1.b-c] PASSED [ 14%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[] PASSED [ 14%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[-bad] PASSED [ 15%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[a;rm] PASSED [ 15%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[a b] PASSED [ 15%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[a/b] PASSED [ 15%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[a$b] PASSED [ 15%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[a|b] PASSED [ 15%]
tests/unit/routes/test_debug_api.py::test_container_name_rejects_invalid[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa] PASSED [ 15%]
tests/unit/routes/test_debug_api.py::test_debug_docker_logs_calls_command PASSED [ 16%]
tests/unit/routes/test_debug_api.py::test_debug_upstreams_returns_payload PASSED [ 16%]
tests/unit/routes/test_debug_api.py::test_audit_writes_line_without_token PASSED [ 16%]
tests/unit/routes/test_debug_api.py::test_audit_falls_back_to_tmp_when_primary_unwritable PASSED [ 16%]
tests/unit/routes/test_debug_api.py::test_audit_swallows_total_failure_without_raising PASSED [ 16%]
tests/unit/routes/test_debug_api.py::test_debug_audit_reads_back PASSED  [ 16%]
tests/unit/routes/test_debug_api.py::test_debug_audit_missing_file PASSED [ 16%]
tests/unit/routes/test_debug_api.py::test_debug_docker_stats_all PASSED  [ 17%]
tests/unit/routes/test_debug_api.py::test_debug_docker_stats_single_container PASSED [ 17%]
tests/unit/routes/test_debug_api.py::test_debug_docker_stats_validates_container_name PASSED [ 17%]
tests/unit/routes/test_debug_api.py::test_debug_doctor_aggregates_health PASSED [ 17%]
tests/unit/routes/test_debug_api.py::test_rotate_token_writes_new_file PASSED [ 17%]
tests/unit/routes/test_debug_api.py::test_rotate_token_rejects_wrong_current_token PASSED [ 17%]
tests/unit/routes/test_debug_api.py::test_rotate_token_rejects_short_new_token PASSED [ 18%]
tests/unit/routes/test_debug_api.py::test_verify_token_accepts_grace_period PASSED [ 18%]
tests/unit/routes/test_debug_api.py::test_verify_token_rejects_expired_grace PASSED [ 18%]
tests/unit/routes/test_debug_api.py::test_tail_ws_authenticates_then_streams PASSED [ 18%]
tests/unit/routes/test_debug_api.py::test_tail_ws_rejects_missing_token PASSED [ 18%]
tests/unit/routes/test_debug_api.py::test_tail_ws_rejects_invalid_service_name PASSED [ 18%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_status_unauthorized PASSED [ 18%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_status_active PASSED [ 19%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_status_inactive PASSED [ 19%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_enable_success PASSED [ 19%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_enable_sudoers_fail PASSED [ 19%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_enable_with_errors PASSED [ 19%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_disable PASSED [ 19%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_block_ip_success PASSED [ 20%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_block_ip_invalid PASSED [ 20%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_block_ip_fail PASSED [ 20%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_unblock_ip_success PASSED [ 20%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_unblock_ip_invalid PASSED [ 20%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_unblock_ip_fail PASSED [ 20%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_top_connections PASSED [ 20%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_top_connections_fallback PASSED [ 21%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_top_connections_empty PASSED [ 21%]
tests/unit/routes/test_security_ddos.py::test_security_protect_all PASSED [ 21%]
tests/unit/routes/test_security_ddos.py::test_security_protect_all_fail PASSED [ 21%]
tests/unit/routes/test_security_ddos.py::test_internal_ensure_sudoers PASSED [ 21%]
tests/unit/routes/test_security_ddos.py::test_internal_ensure_sudoers_no_password PASSED [ 21%]
tests/unit/routes/test_security_ddos.py::test_internal_ensure_sudoers_with_password PASSED [ 21%]
tests/unit/routes/test_security_ddos.py::test_internal_ensure_sudoers_with_password_fail PASSED [ 22%]
tests/unit/routes/test_security_ddos.py::test_internal_iptables PASSED   [ 22%]
tests/unit/routes/test_security_ddos.py::test_internal_is_shield_active PASSED [ 22%]
tests/unit/routes/test_security_ddos.py::test_internal_is_shield_active_no_file PASSED [ 22%]
tests/unit/routes/test_security_ddos.py::test_internal_enable_shield PASSED [ 22%]
tests/unit/routes/test_security_ddos.py::test_internal_enable_shield_error PASSED [ 22%]
tests/unit/routes/test_security_ddos.py::test_internal_disable_shield PASSED [ 23%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_enable_exception PASSED [ 23%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_disable_unauthorized PASSED [ 23%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_block_ip_unauthorized PASSED [ 23%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_unblock_ip_unauthorized PASSED [ 23%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_top_connections_unauthorized PASSED [ 23%]
tests/unit/routes/test_security_ddos.py::test_security_protect_all_unauthorized PASSED [ 23%]
tests/unit/routes/test_security_ddos.py::test_security_ddos_enable_unauthorized PASSED [ 24%]
tests/unit/routes/test_security_ddos.py::test_security_protect_all_fail_shield PASSED [ 24%]
tests/unit/routes/test_security_route.py::test_security_ban_ip PASSED    [ 24%]
tests/unit/routes/test_security_route.py::test_security_ban_ip_invalid PASSED [ 24%]
tests/unit/routes/test_security_route.py::test_security_unban PASSED     [ 24%]
tests/unit/routes/test_security_route.py::test_security_blocklist_page PASSED [ 24%]
tests/unit/routes/test_security_route.py::test_security_blocklist_import PASSED [ 24%]
tests/unit/routes/test_security_route.py::test_fail2ban_enable PASSED    [ 25%]
tests/unit/routes/test_security_route.py::test_fail2ban_enable_unauthorized PASSED [ 25%]
tests/unit/routes/test_security_route.py::test_abuseipdb_blacklist_no_key PASSED [ 25%]
tests/unit/routes/test_security_route.py::test_abuseipdb_blacklist_with_data PASSED [ 25%]
tests/unit/routes/test_security_route.py::test_abuseipdb_blacklist_empty PASSED [ 25%]
tests/unit/routes/test_security_route.py::test_abuseipdb_check PASSED    [ 25%]
tests/unit/routes/test_security_route.py::test_abuseipdb_check_missing_params PASSED [ 26%]
tests/unit/routes/test_security_route.py::test_abuseipdb_check_error PASSED [ 26%]
tests/unit/routes/test_security_route.py::test_security_firewall_enable PASSED [ 26%]
tests/unit/routes/test_security_route.py::test_security_firewall_disable PASSED [ 26%]
tests/unit/routes/test_security_route.py::test_security_firewall_rule_add PASSED [ 26%]
tests/unit/routes/test_security_route.py::test_security_firewall_rule_delete PASSED [ 26%]
tests/unit/routes/test_security_route.py::test_security_fail2ban_config PASSED [ 26%]
tests/unit/routes/test_security_route.py::test_security_clamav_toggle_low_memory PASSED [ 27%]
tests/unit/routes/test_security_route.py::test_security_clamav_toggle_success PASSED [ 27%]
tests/unit/routes/test_security_route.py::test_security_lynis_audit PASSED [ 27%]
tests/unit/routes/test_security_route.py::test_security_lynis_report PASSED [ 27%]
tests/unit/routes/test_security_route.py::test_security_fail2ban_get_config PASSED [ 27%]
tests/unit/routes/test_settings.py::test_settings_page_unauthenticated PASSED [ 27%]
tests/unit/routes/test_settings.py::test_settings_page_authenticated PASSED [ 27%]
tests/unit/routes/test_settings.py::test_settings_update_unauthenticated PASSED [ 28%]
tests/unit/routes/test_settings.py::test_settings_update_existing_settings PASSED [ 28%]
tests/unit/routes/test_settings.py::test_settings_update_new_settings PASSED [ 28%]
tests/unit/routes/test_settings.py::test_settings_update_empty_panel PASSED [ 28%]
tests/unit/routes/test_settings.py::test_settings_update_invalid_base_domain PASSED [ 28%]
tests/unit/routes/test_settings.py::test_settings_update_invalid_panel_subdomain PASSED [ 28%]
tests/unit/routes/test_settings.py::test_audit_log_unauthenticated PASSED [ 29%]
tests/unit/routes/test_settings.py::test_audit_log_authenticated PASSED  [ 29%]
tests/unit/routes/test_subdomains.py::test_subdomains_list_unauthenticated PASSED [ 29%]
tests/unit/routes/test_subdomains.py::test_subdomains_list_authenticated PASSED [ 29%]
tests/unit/routes/test_subdomains.py::test_subdomain_add_unauthenticated PASSED [ 29%]
tests/unit/routes/test_subdomains.py::test_subdomain_add_success PASSED  [ 29%]
tests/unit/routes/test_subdomains.py::test_subdomain_add_invalid_name PASSED [ 29%]
tests/unit/routes/test_subdomains.py::test_subdomain_add_already_exists PASSED [ 30%]
tests/unit/routes/test_subdomains.py::test_subdomain_edit_unauthenticated PASSED [ 30%]
tests/unit/routes/test_subdomains.py::test_subdomain_edit_success PASSED [ 30%]
tests/unit/routes/test_subdomains.py::test_subdomain_edit_not_found PASSED [ 30%]
tests/unit/routes/test_subdomains.py::test_subdomain_delete_unauthenticated PASSED [ 30%]
tests/unit/routes/test_subdomains.py::test_subdomain_delete_success PASSED [ 30%]
tests/unit/routes/test_subdomains.py::test_subdomain_delete_not_found PASSED [ 30%]
tests/unit/routes/test_subdomains.py::test_log_audit_helper PASSED       [ 31%]
tests/unit/test_app.py::test_internal_lifespan_creates_cancels_task PASSED [ 31%]
tests/unit/test_app_manager.py::test_deploy_template_directory_traversal PASSED [ 31%]
tests/unit/test_app_manager.py::test_deploy_template_invalid_subdomain PASSED [ 31%]
tests/unit/test_app_manager.py::test_delete_app_invalid_subdomain PASSED [ 31%]
tests/unit/test_app_manager.py::test_deploy_template_unknown_stack PASSED [ 31%]
tests/unit/test_app_manager.py::test_deploy_template_success PASSED      [ 32%]
tests/unit/test_app_manager_edge.py::test_delete_app_exception PASSED    [ 32%]
tests/unit/test_app_manager_edge.py::test_get_template_info_success PASSED [ 32%]
tests/unit/test_app_manager_edge.py::test_get_template_info_not_exists PASSED [ 32%]
tests/unit/test_app_manager_edge.py::test_get_template_info_invalid_json PASSED [ 32%]
tests/unit/test_auth.py::TestSessionAuth::test_get_serializer PASSED     [ 32%]
tests/unit/test_auth.py::TestSessionAuth::test_get_serializer_returns_cached_instance PASSED [ 32%]
tests/unit/test_auth.py::TestSessionAuth::test_get_serializer_empty_secret PASSED [ 33%]
tests/unit/test_auth.py::TestSessionAuth::test_create_and_verify_token PASSED [ 33%]
tests/unit/test_auth.py::TestSessionAuth::test_invalid_token_rejected PASSED [ 33%]
tests/unit/test_auth.py::TestSessionAuth::test_token_hash_consistency PASSED [ 33%]
tests/unit/test_auth.py::TestSessionAuth::test_validate_session PASSED   [ 33%]
tests/unit/test_auth.py::TestSessionAuth::test_revoke_session PASSED     [ 33%]
tests/unit/test_auth.py::TestAppFactory::test_create_app PASSED          [ 33%]
tests/unit/test_auth.py::TestAppFactory::test_app_health_endpoint PASSED [ 34%]
tests/unit/test_auth.py::TestSessionRecords::test_create_session_record PASSED [ 34%]
tests/unit/test_backup.py::test_get_db_service_info_postgres PASSED      [ 34%]
tests/unit/test_backup.py::test_get_db_service_info_mysql PASSED         [ 34%]
tests/unit/test_backup.py::test_get_db_service_info_invalid_yaml PASSED  [ 34%]
tests/unit/test_backup.py::test_get_db_service_info_no_services PASSED   [ 34%]
tests/unit/test_backup.py::test_perform_app_backup_no_db PASSED          [ 35%]
tests/unit/test_backup.py::test_perform_app_backup_postgres PASSED       [ 35%]
tests/unit/test_backup.py::test_perform_app_backup_mysql PASSED          [ 35%]
tests/unit/test_backup.py::test_perform_app_backup_exception PASSED      [ 35%]
tests/unit/test_backup.py::test_scheduled_backup_loop_disabled PASSED    [ 35%]
tests/unit/test_backup.py::test_scheduled_backup_loop_enabled PASSED     [ 35%]
tests/unit/test_backup.py::test_scheduled_backup_loop_exception PASSED   [ 35%]
tests/unit/test_blocklist.py::test_fetch_blocklist_success PASSED        [ 36%]
tests/unit/test_blocklist.py::test_fetch_blocklist_cache PASSED          [ 36%]
tests/unit/test_blocklist.py::test_fetch_blocklist_cache_expired PASSED  [ 36%]
tests/unit/test_blocklist.py::test_fetch_blocklist_http_error PASSED     [ 36%]
tests/unit/test_blocklist.py::test_fetch_blocklist_exception PASSED      [ 36%]
tests/unit/test_blocklist.py::test_daily_blocklist_import PASSED         [ 36%]
tests/unit/test_blocklist.py::test_daily_blocklist_import_disabled PASSED [ 36%]
tests/unit/test_blocklist.py::test_daily_blocklist_import_exception PASSED [ 37%]
tests/unit/test_blocklist.py::test_fetch_blocklist_unauthorized_url PASSED [ 37%]
tests/unit/test_bug_analyzer.py::test_classify_log_line_ignores_static_resource_noise PASSED [ 37%]
tests/unit/test_bug_analyzer.py::test_classify_log_line_detects_real_exception_group PASSED [ 37%]
tests/unit/test_bug_analyzer.py::test_group_log_issues_deduplicates_by_fingerprint PASSED [ 37%]
tests/unit/test_bug_analyzer.py::test_analyze_system_logs_success PASSED [ 37%]
tests/unit/test_bug_analyzer.py::test_analyze_system_logs_journalctl_failure PASSED [ 38%]
tests/unit/test_bug_analyzer.py::test_analyze_system_logs_exception PASSED [ 38%]
tests/unit/test_caddy.py::TestMainDomain::test_add_main_domain PASSED    [ 38%]
tests/unit/test_caddy.py::TestMainDomain::test_add_main_domain_default_port PASSED [ 38%]
tests/unit/test_caddy.py::TestMainDomain::test_remove_main_domain PASSED [ 38%]
tests/unit/test_caddy.py::test_get_certificates_api_success PASSED       [ 38%]
tests/unit/test_caddy.py::test_get_certificates_handles_api_error PASSED [ 38%]
tests/unit/test_caddy.py::test_save_api_token_new_file PASSED            [ 39%]
tests/unit/test_caddy.py::test_save_api_token_existing_file PASSED       [ 39%]
tests/unit/test_caddy.py::test_save_api_token_existing_var PASSED        [ 39%]
tests/unit/test_caddy.py::test_save_api_token_permission_error PASSED    [ 39%]
tests/unit/test_caddy.py::test_generate_and_reload_success PASSED        [ 39%]
tests/unit/test_caddy.py::test_generate_and_reload_validate_fails PASSED [ 39%]
tests/unit/test_caddy.py::test_generate_and_reload_validate_not_found PASSED [ 40%]
tests/unit/test_caddy.py::test_generate_and_reload_reload_fails PASSED   [ 40%]
tests/unit/test_caddy.py::test_generate_and_reload_permission_error PASSED [ 40%]
tests/unit/test_caddy.py::test_get_managed_domains_success PASSED        [ 40%]
tests/unit/test_caddy.py::test_get_managed_domains_not_200 PASSED        [ 40%]
tests/unit/test_caddy.py::test_check_certs_via_openssl_success PASSED    [ 40%]
tests/unit/test_caddy.py::test_check_certs_via_openssl_exception PASSED  [ 40%]
tests/unit/test_caddy.py::test_renew_certificate_success PASSED          [ 41%]
tests/unit/test_caddy.py::test_renew_certificate_get_fails PASSED        [ 41%]
tests/unit/test_caddy.py::test_renew_certificate_exception PASSED        [ 41%]
tests/unit/test_caddy.py::test_auto_renew_certificates PASSED            [ 41%]
tests/unit/test_caddy_edge.py::test_get_certificates_api_exception PASSED [ 41%]
tests/unit/test_caddy_edge.py::test_renew_certificate_timeout PASSED     [ 41%]
tests/unit/test_caddy_edge.py::test_renew_certificate_post_exception PASSED [ 41%]
tests/unit/test_caddy_edge.py::test_renew_certificate_post_raise_for_status PASSED [ 42%]
tests/unit/test_caddy_edge.py::test_generate_and_reload_permission_error PASSED [ 42%]
tests/unit/test_caddy_edge.py::test_generate_and_reload_subprocess_failure PASSED [ 42%]
tests/unit/test_caddy_edge.py::test_generate_and_reload_validation_failure PASSED [ 42%]
tests/unit/test_caddy_edge.py::test_generate_and_reload_success PASSED   [ 42%]
tests/unit/test_caddy_edge.py::test_generate_and_reload_exception PASSED [ 42%]
tests/unit/test_config.py::TestSettings::test_defaults PASSED            [ 43%]
tests/unit/test_config.py::TestSettings::test_database_url_default PASSED [ 43%]
tests/unit/test_config.py::TestSettings::test_database_url_custom PASSED [ 43%]
tests/unit/test_config.py::TestSettings::test_from_config_file PASSED    [ 43%]
tests/unit/test_config.py::TestSettings::test_get_settings_singleton PASSED [ 43%]
tests/unit/test_config.py::TestSettings::test_effective_domain_and_panel_url_with_base_domain PASSED [ 43%]
tests/unit/test_config.py::TestSettings::test_effective_domain_and_panel_url_without_base_domain PASSED [ 43%]
tests/unit/test_config.py::TestSettings::test_detect_ip_success PASSED   [ 44%]
tests/unit/test_config.py::TestSettings::test_detect_ip_exception PASSED [ 44%]
tests/unit/test_config.py::TestSettings::test_ensure_paths PASSED        [ 44%]
tests/unit/test_config.py::TestSettings::test_effective_domain_explicit PASSED [ 44%]
tests/unit/test_config.py::TestSettings::test_get_settings_none PASSED   [ 44%]
tests/unit/test_config.py::TestSettings::test_panel_url_edge_cases PASSED [ 44%]
tests/unit/test_config.py::TestSettings::test_panel_url_explicit_base_domain PASSED [ 44%]
tests/unit/test_config.py::TestSettings::test_panel_url_default PASSED   [ 45%]
tests/unit/test_config.py::TestSettings::test_save_config_file PASSED    [ 45%]
tests/unit/test_config.py::TestSettings::test_save_config_file_creates_parents PASSED [ 45%]
tests/unit/test_crypto.py::test_hash_token_known_value PASSED            [ 45%]
tests/unit/test_crypto.py::test_hash_token_empty_string PASSED           [ 45%]
tests/unit/test_crypto.py::test_hash_token_different_inputs PASSED       [ 45%]
tests/unit/test_crypto.py::test_hash_token_length PASSED                 [ 46%]
tests/unit/test_dashboard_template.py::test_stats_polling_preserves_grid_wrapper PASSED [ 46%]
tests/unit/test_deps.py::TestGetUser::test_no_cookie PASSED              [ 46%]
tests/unit/test_deps.py::TestGetUser::test_invalid_cookie PASSED         [ 46%]
tests/unit/test_deps.py::TestGetUser::test_missing_uid PASSED            [ 46%]
tests/unit/test_deps.py::TestGetUser::test_invalid_session PASSED        [ 46%]
tests/unit/test_deps.py::TestGetUser::test_valid_session PASSED          [ 46%]
tests/unit/test_deps.py::TestGetCurrentUser::test_no_cookie PASSED       [ 47%]
tests/unit/test_deps.py::TestGetCurrentUser::test_invalid_cookie PASSED  [ 47%]
tests/unit/test_deps.py::TestGetCurrentUser::test_missing_uid PASSED     [ 47%]
tests/unit/test_deps.py::TestGetCurrentUser::test_invalid_session PASSED [ 47%]
tests/unit/test_deps.py::TestGetCurrentUser::test_valid_session PASSED   [ 47%]
tests/unit/test_deps.py::TestGetAdmin::test_not_logged_in PASSED         [ 47%]
tests/unit/test_deps.py::TestGetAdmin::test_logged_in_not_admin PASSED   [ 47%]
tests/unit/test_deps.py::TestGetAdmin::test_logged_in_is_admin PASSED    [ 48%]
tests/unit/test_docker_ops.py::test_containers_count PASSED              [ 48%]
tests/unit/test_docker_ops.py::test_containers_count_oserror PASSED      [ 48%]
tests/unit/test_docker_ops.py::test_run_compose_command_up_success PASSED [ 48%]
tests/unit/test_docker_ops.py::test_run_compose_command_up_failure PASSED [ 48%]
